1.58496,-1.#IND,1.63899,1.64194,1.64523,1.64891,1.65304,1.65772,1.66305,1.66916,1.67624,1.6845,1.69425,1.70588,1.71997,1.73729,1.75904,1.78708,1.82454,1.87729,1.95735,2.0903,2.32027,2.66534,3.04025,3.35502,3.59912,3.79046,3.94461,4.07169,4.17825,4.26882,4.34666,4.41424,4.47345,4.52573,4.57226,4.61393,4.65148,4.6855,4.71648,-1.#IND,5.35755
1.58496,-1.#IND,1.65167,1.65533,1.65941,1.66399,1.66914,1.67498,1.68166,1.68936,1.69832,1.70885,1.72139,1.73653,1.75512,1.77841,1.80835,1.84809,1.90318,1.98412,2.11208,2.32618,2.66306,3.06807,3.42375,3.69453,3.90011,4.06184,4.19322,4.30241,4.39462,4.47345,4.54152,4.60081,4.65287,4.69889,4.73985,4.77652,4.80952,4.83938,4.86651,-1.#IND,5.42626
1.58496,-1.#IND,1.66983,1.67451,1.67973,1.68559,1.6922,1.69973,1.70836,1.71835,1.73004,1.74388,1.76051,1.78082,1.80613,1.83843,1.88089,1.93888,2.02197,2.1485,2.35347,2.68534,3.13009,3.55149,3.86886,4.10157,4.28191,4.42992,4.55632,4.66679,4.7644,4.851,4.92788,4.99614,5.05676,5.11066,5.15869,5.2016,5.24006,5.27465,5.30589,-1.#IND,5.88264
1.58496,-1.#IND,1.69227,1.69821,1.70484,1.71229,1.72071,1.73031,1.74136,1.75419,1.76927,1.78723,1.80897,1.83578,1.86961,1.91348,1.9724,2.05507,2.17766,2.37184,2.69348,3.17811,3.69349,4.07473,4.33027,4.51243,4.65251,4.76608,4.86125,4.94269,5.01335,5.07529,5.13002,5.17868,5.22217,5.26123,5.29645,5.32833,5.35728,5.38368,5.40781,-1.#IND,5.90689
1.58496,-1.#IND,1.71695,1.72428,1.73246,1.74167,1.7521,1.76401,1.77774,1.79374,1.81262,1.83522,1.86276,1.89703,1.94075,1.99832,2.0772,2.19089,2.3658,2.65554,3.14599,3.80308,4.32994,4.64505,4.84358,4.98496,5.09498,5.18564,5.26323,5.33132,5.39204,5.4467,5.49613,5.54091,5.58149,5.61826,5.6516,5.68183,5.70929,5.73427,5.75705,-1.#IND,6.20945
1.58496,-1.#IND,1.75862,1.76827,1.77905,1.79118,1.80493,1.82064,1.83877,1.85991,1.88489,1.91486,1.95145,1.99711,2.05564,2.13321,2.24047,2.39725,2.64368,3.06397,3.76896,4.54099,4.98815,5.21691,5.35898,5.46225,5.54412,5.61207,5.66993,5.71997,5.76368,5.80216,5.83623,5.86656,5.8937,5.91808,5.94009,5.96003,5.97817,5.99473,6.0099,-1.#IND,6.35755
1.58496,-1.#IND,1.83118,1.84486,1.86014,1.87734,1.89683,1.91911,1.94481,1.97479,2.01022,2.05273,2.10465,2.1695,2.25271,2.36328,2.51699,2.74423,3.10943,3.74758,4.70758,5.38036,5.65083,5.78663,5.87452,5.93879,5.98889,6.02953,6.06343,6.09227,6.1172,6.13901,6.15831,6.17552,6.19099,6.20498,6.21771,6.22933,6.24001,6.24984,6.25894,-1.#IND,6.49185
4.70044,-1.#IND,5.01353,5.03037,5.04907,5.06996,5.09343,5.11999,5.15028,5.1851,5.22551,5.27289,5.329,5.39609,5.47678,5.57355,5.68715,5.81355,5.94142,6.05583,6.14755,6.21676,6.26854,6.30819,6.33962,6.36542,6.38722,6.40612,6.42281,6.43777,6.45134,6.46375,6.47519,6.48578,6.49562,6.5048,6.51338,6.52141,6.52894,6.53602,6.54267,-1.#IND,6.74147
6.12928,-1.#IND,6.38658,6.39916,6.4127,6.42722,6.44272,6.45914,6.47637,6.49423,6.51249,6.53083,6.54892,6.56644,6.58309,6.59868,6.61308,6.62627,6.6383,6.64926,6.65925,6.66841,6.67684,6.68465,6.69192,6.69873,6.70514,6.71121,6.71696,6.72244,6.72767,6.73267,6.73746,6.74206,6.74649,6.75074,6.75484,6.75879,6.76261,6.76629,6.76986,-1.#IND,6.93074
6.74147,-1.#IND,6.87748,6.87958,6.88166,6.88371,6.88574,6.88773,6.88969,6.89161,6.89349,6.89533,6.89714,6.8989,6.90062,6.90229,6.90393,6.90552,6.90708,6.90859,6.91006,6.91149,6.91289,6.91425,6.91557,6.91686,6.91811,6.91933,6.92052,6.92168,6.92281,6.92391,6.92498,6.92602,6.92704,6.92803,6.929,6.92994,6.93086,6.93176,6.93263,-1.#IND,6.98868
